,Date,Volume,Adj Close,Label,DJIA_news_sentiment,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25
1978,2008-08-22,138790000,11628.05957,1,-0.06428901690969224,0.2572551827218675,0.20587449305271605,-0.2894067799982584,0.20558669341936434,-0.14096592595947396,-0.2884220310871326,-0.3409735977395189,0.2009870305872705,-0.5790903988914633,0.0,0.0,-0.4482752199165569,0.0,0.0,0.457993495341615,-0.27263308177978157,-0.28154166370522254,0.17606787766949553,0.280153755626715,-0.5884973241403905,0.0,-0.3539980765770822,0.0,0.0,0.19266014863353095
1977,2008-08-25,148610000,11386.25,0,-0.27002934804411377,-0.3169878494983278,-0.33147750431671874,-0.5339802783081716,-0.4245767891876431,-0.25376207043680954,-0.6434618865790007,-0.43441144402660004,-0.22893617306606437,-0.14068659670008354,0.0,0.0,0.0,-0.24819089272423484,-0.33715691493569777,0.0,0.0,-0.41834507883303457,-0.28338121905979297,0.0,0.0,-0.5351128699411023,-0.40926338650957456,-0.4922709227614491,-0.4406434494145993,-0.27808837480394
1976,2008-08-26,119800000,11412.870117,1,-0.19074015508181566,-0.28837466332580464,-0.4096201756160506,-0.087919012345679,-0.475864196667971,0.33590068621437047,-0.2606596657509157,0.0,-0.22612479985791847,0.3854652550299942,-0.43209844190782515,-0.2705800834556554,0.0,0.0,0.0,-0.27213638946551155,-0.08660932776295095,-0.49063712032654927,-0.5155258075414253,-0.22629478995571656,-0.18789624008907702,0.3008108149453204,-0.2113247048510329,-0.4633386268622681,-0.5765345995118588,-0.30914198794086667
1975,2008-08-27,120580000,11502.509766,1,-0.14789148757147919,-0.41991068795787545,-0.2872049253154253,-0.3592473986430237,0.0,-0.41151581545388566,0.22377021421420332,-0.3342017702843411,-0.2871352147652754,-0.18089272790968822,0.0,-0.44066763248847934,0.05441287803715341,0.0,-0.23908410987864792,-0.5258167337488062,0.22678692421241153,-0.36553430924245706,0.0,-0.21569823955645787,-0.26452847807121443,-0.18382202869853645,0.0,0.31300286626336626,0.0,0.0
1974,2008-08-28,149150000,11715.179688,1,0.00040731348506581664,0.27931524524076434,-0.23362650658761527,0.19868470807574068,0.05453632113511274,0.0,0.2949809581960225,0.16804251791093897,0.0,0.4366881166007905,0.4175757895256917,0.17645268314272175,0.0,0.0,0.18868792897923334,-0.4611999041163515,0.0839981695435727,0.0,-0.4258278951368227,-0.29597441271987607,0.0,0.0,0.0,0.0,-0.39442993222091216,-0.47772095044236634
1973,2008-08-29,166910000,11543.959961,0,-0.037268882945034526,-0.4880707604895104,0.0,-0.19958052691632036,0.0,0.24280493443754309,-0.09187789949181253,0.0,0.0,0.0,-0.1644745153686893,0.0,-0.052229542397628455,0.0,0.0,0.27341738271523125,-0.2273383545058484,0.0,-0.24943145959149615,0.0,0.24552996223100573,0.22979400960748927,0.05050119795576738,0.0,-0.5007665018115942,0.0
1972,2008-09-02,177090000,11516.919922,0,-0.1873708758088374,-0.6586245896099672,-0.4130377620501479,0.0,-0.15682572716836304,-0.2536350732860382,0.0,-0.515087779517852,0.3186411824932314,-0.2730987979090153,-0.08634613184989996,-0.03886794028274463,-0.3675134515939608,0.0,-0.018160821571946574,-0.09453147032757095,-0.27063759668953524,-0.5747464022304324,-0.19227647346132126,0.370388195299266,-0.6235647622687054,-0.5957165913428359,0.0,0.0,0.0,-0.2406299018530958
1971,2008-09-03,174250000,11532.879883,1,-0.08656044763469518,0.0,0.0,0.4609391340326341,0.0,0.1791856769045501,-0.5760525533026755,0.0,-0.10099788058305088,-0.5224314572863731,-0.39925381233169,-0.41868223843019103,0.0,-0.4896685566642231,-0.3610027928145462,0.0,0.2738850588023088,-0.35592033734286316,0.0,0.22296682979580804,-0.42473074194510335,0.0,0.0,0.0,0.0,0.3477524802980359
1970,2008-09-04,229200000,11188.230469,0,-0.09485724817826861,0.23943476034834732,-0.39781704538756263,-0.0701419397273916,-0.32713063017391963,-0.542181214673913,0.14666289506146402,-0.39110495370065385,-0.2588995726423547,-0.6135851173554705,0.3148448412547597,0.0,-0.13520480142860677,0.0,0.0,0.31029854687064884,0.0,0.31287677675826586,-0.6135851173554705,-0.23274715498587353,0.47041248431476607,0.2014586734878058,0.0,-0.45606585820612133,0.07011462684470655,-0.39907140376014144
1969,2008-09-05,198300000,11220.959961,1,-0.14689701066101754,-0.4329851355908585,0.0,-0.5562260470191042,0.0,-0.29563276213584283,0.0,-0.23199110775267046,0.0,-0.2935535726495726,0.0,0.0,-0.4183045418367229,0.27577157247150996,0.0,-0.44838048272602044,0.0,-0.29825462936099306,0.4299749090296145,-0.4833468936114207,-0.3020050287502353,0.0,-0.04459610869124943,-0.24940807986498206,-0.6376546964207289,0.31416733838383837
